id,name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst
543,venipede,bug,poison,30,45,59,30,39,57,260
544,whirlipede,bug,poison,40,55,99,40,79,47,360
545,scolipede,bug,poison,60,100,89,55,69,112,485
546,cottonee,grass,fairy,40,27,60,37,50,66,280
547,whimsicott,grass,fairy,60,67,85,77,75,116,480
548,petilil,grass,,45,35,50,70,50,30,280
549,lilligant,grass,,70,60,75,110,75,90,480
550,basculin-red-striped,water,,70,92,65,80,55,98,460
551,sandile,ground,dark,50,72,35,35,35,65,292
552,krokorok,ground,dark,60,82,45,45,45,74,351
553,krookodile,ground,dark,95,117,80,65,70,92,519
554,darumaka,fire,,70,90,45,15,45,50,315
555,darmanitan-standard,fire,,105,140,55,30,55,95,480
556,maractus,grass,,75,86,67,106,67,60,461
557,dwebble,bug,rock,50,65,85,35,35,55,325
558,crustle,bug,rock,70,105,125,65,75,45,485
559,scraggy,dark,fighting,50,75,70,35,70,48,348
560,scrafty,dark,fighting,65,90,115,45,115,58,488
561,sigilyph,psychic,flying,72,58,80,103,80,97,490
562,yamask,ghost,,38,30,85,55,65,30,303
563,cofagrigus,ghost,,58,50,145,95,105,30,483
564,tirtouga,water,rock,54,78,103,53,45,22,355
565,carracosta,water,rock,74,108,133,83,65,32,495
566,archen,rock,flying,55,112,45,74,45,70,401
567,archeops,rock,flying,75,140,65,112,65,110,567
568,trubbish,poison,,50,50,62,40,62,65,329
569,garbodor,poison,,80,95,82,60,82,75,474
570,zorua,dark,,40,65,40,80,40,65,330
571,zoroark,dark,,60,105,60,120,60,105,510
572,minccino,normal,,55,50,40,40,40,75,300
573,cinccino,normal,,75,95,60,65,60,115,470
574,gothita,psychic,,45,30,50,55,65,45,290
575,gothorita,psychic,,60,45,70,75,85,55,390
576,gothitelle,psychic,,70,55,95,95,110,65,490
577,solosis,psychic,,45,30,40,105,50,20,290
578,duosion,psychic,,65,40,50,125,60,30,370
579,reuniclus,psychic,,110,65,75,125,85,30,490
580,ducklett,water,flying,62,44,50,44,50,55,305
581,swanna,water,flying,75,87,63,87,63,98,473
582,vanillite,ice,,36,50,50,65,60,44,305
583,vanillish,ice,,51,65,65,80,75,59,395
584,vanilluxe,ice,,71,95,85,110,95,79,535
585,deerling,normal,grass,60,60,50,40,50,75,335
586,sawsbuck,normal,grass,80,100,70,60,70,95,475
587,emolga,electric,flying,55,75,60,75,60,103,428
588,karrablast,bug,,50,75,45,40,45,60,315
589,escavalier,bug,steel,70,135,105,60,105,20,495
590,foongus,grass,poison,69,55,45,55,55,15,294
591,amoonguss,grass,poison,114,85,70,85,80,30,464
592,frillish-male,water,ghost,55,40,50,65,85,40,335
593,jellicent-male,water,ghost,100,60,70,85,105,60,480
594,alomomola,water,,165,75,80,40,45,65,470
595,joltik,bug,electric,50,47,50,57,50,65,319
596,galvantula,bug,electric,70,77,60,97,60,108,472
597,ferroseed,grass,steel,44,50,91,24,86,10,305
598,ferrothorn,grass,steel,74,94,131,54,116,20,489
599,klink,steel,,40,55,70,45,60,30,300
600,klang,steel,,60,80,95,70,85,50,440
601,klinklang,steel,,60,100,115,70,85,90,520
602,tynamo,electric,,35,55,40,45,40,60,275
603,eelektrik,electric,,65,85,70,75,70,40,405
604,eelektross,electric,,85,115,80,105,80,50,515
605,elgyem,psychic,,55,55,55,85,55,30,335
606,beheeyem,psychic,,75,75,75,125,95,40,485
607,litwick,ghost,fire,50,30,55,65,55,20,275
608,lampent,ghost,fire,60,40,60,95,60,55,370
609,chandelure,ghost,fire,60,55,90,145,90,80,520
610,axew,dragon,,46,87,60,30,40,57,320
611,fraxure,dragon,,66,117,70,40,50,67,410
612,haxorus,dragon,,76,147,90,60,70,97,540
613,cubchoo,ice,,55,70,40,60,40,40,305
614,beartic,ice,,95,130,80,70,80,50,505
615,cryogonal,ice,,80,50,50,95,135,105,515
616,shelmet,bug,,50,40,85,40,65,25,305
617,accelgor,bug,,80,70,40,100,60,145,495
618,stunfisk,ground,electric,109,66,84,81,99,32,471
619,mienfoo,fighting,,45,85,50,55,50,65,350
620,mienshao,fighting,,65,125,60,95,60,105,510
621,druddigon,dragon,,77,120,90,60,90,48,485
622,golett,ground,ghost,59,74,50,35,50,35,303
623,golurk,ground,ghost,89,124,80,55,80,55,483
624,pawniard,dark,steel,45,85,70,40,40,60,340
625,bisharp,dark,steel,65,125,100,60,70,70,490
626,bouffalant,normal,,95,110,95,40,95,55,490
627,rufflet,normal,flying,70,83,50,37,50,60,350
628,braviary,normal,flying,100,123,75,57,75,80,510
629,vullaby,dark,flying,70,55,75,45,65,60,370
630,mandibuzz,dark,flying,110,65,105,55,95,80,510
631,heatmor,fire,,85,97,66,105,66,65,484
632,durant,bug,steel,58,109,112,48,48,109,484
633,deino,dark,dragon,52,65,50,45,50,38,300
634,zweilous,dark,dragon,72,85,70,65,70,58,420
635,hydreigon,dark,dragon,92,105,90,125,90,98,600
636,larvesta,bug,fire,55,85,55,50,55,60,360
637,volcarona,bug,fire,85,60,65,135,105,100,550
638,cobalion,steel,fighting,91,90,129,90,72,108,580
639,terrakion,rock,fighting,91,129,90,72,90,108,580
640,virizion,grass,fighting,91,90,72,90,129,108,580
641,tornadus-incarnate,flying,,79,115,70,125,80,111,580
642,thundurus-incarnate,electric,flying,79,115,70,125,80,111,580
643,reshiram,dragon,fire,100,120,100,150,120,90,680
644,zekrom,dragon,electric,100,150,120,120,100,90,680
645,landorus-incarnate,ground,flying,89,125,90,115,80,101,600
646,kyurem,dragon,ice,125,130,90,130,90,95,660
647,keldeo-ordinary,water,fighting,91,72,90,129,90,108,580
648,meloetta-aria,normal,psychic,100,77,77,128,128,90,600
649,genesect,bug,steel,71,120,95,120,95,99,600
650,chespin,grass,,56,61,65,48,45,38,313
651,quilladin,grass,,61,78,95,56,58,57,405
652,chesnaught,grass,fighting,88,107,122,74,75,64,530
653,fennekin,fire,,40,45,40,62,60,60,307
654,braixen,fire,,59,59,58,90,70,73,409
655,delphox,fire,psychic,75,69,72,114,100,104,534
656,froakie,water,,41,56,40,62,44,71,314
657,frogadier,water,,54,63,52,83,56,97,405
658,greninja,water,dark,72,95,67,103,71,122,530
659,bunnelby,normal,,38,36,38,32,36,57,237
660,diggersby,normal,ground,85,56,77,50,77,78,423
661,fletchling,normal,flying,45,50,43,40,38,62,278
662,fletchinder,fire,flying,62,73,55,56,52,84,382
663,talonflame,fire,flying,78,81,71,74,69,126,499
664,scatterbug,bug,,38,35,40,27,25,35,200
665,spewpa,bug,,45,22,60,27,30,29,213
666,vivillon,bug,flying,80,52,50,90,50,89,411
667,litleo,fire,normal,62,50,58,73,54,72,369
668,pyroar-male,fire,normal,86,68,72,109,66,106,507
669,flabebe,fairy,,44,38,39,61,79,42,303
670,floette,fairy,,54,45,47,75,98,52,371
671,florges,fairy,,78,65,68,112,154,75,552
672,skiddo,grass,,66,65,48,62,57,52,350
673,gogoat,grass,,123,100,62,97,81,68,531
674,pancham,fighting,,67,82,62,46,48,43,348
675,pangoro,fighting,dark,95,124,78,69,71,58,495
676,furfrou,normal,,75,80,60,65,90,102,472
677,espurr,psychic,,62,48,54,63,60,68,355
678,meowstic-male,psychic,,74,48,76,83,81,104,466
679,honedge,steel,ghost,45,80,100,35,37,28,325
680,doublade,steel,ghost,59,110,150,45,49,35,448
681,aegislash-shield,steel,ghost,60,50,140,50,140,60,500
682,spritzee,fairy,,78,52,60,63,65,23,341
683,aromatisse,fairy,,101,72,72,99,89,29,462
684,swirlix,fairy,,62,48,66,59,57,49,341
685,slurpuff,fairy,,82,80,86,85,75,72,480
686,inkay,dark,psychic,53,54,53,37,46,45,288
687,malamar,dark,psychic,86,92,88,68,75,73,482
688,binacle,rock,water,42,52,67,39,56,50,306
689,barbaracle,rock,water,72,105,115,54,86,68,500
690,skrelp,poison,water,50,60,60,60,60,30,320
691,dragalge,poison,dragon,65,75,90,97,123,44,494
692,clauncher,water,,50,53,62,58,63,44,330
693,clawitzer,water,,71,73,88,120,89,59,500
694,helioptile,electric,normal,44,38,33,61,43,70,289
695,heliolisk,electric,normal,62,55,52,109,94,109,481
696,tyrunt,rock,dragon,58,89,77,45,45,48,362
697,tyrantrum,rock,dragon,82,121,119,69,59,71,521
698,amaura,rock,ice,77,59,50,67,63,46,362
699,aurorus,rock,ice,123,77,72,99,92,58,521
700,sylveon,fairy,,95,65,65,110,130,60,525
701,hawlucha,fighting,flying,78,92,75,74,63,118,500
702,dedenne,electric,fairy,67,58,57,81,67,101,431
703,carbink,rock,fairy,50,50,150,50,150,50,500
704,goomy,dragon,,45,50,35,55,75,40,300
705,sliggoo,dragon,,68,75,53,83,113,60,452
706,goodra,dragon,,90,100,70,110,150,80,600
707,klefki,steel,fairy,57,80,91,80,87,75,470
708,phantump,ghost,grass,43,70,48,50,60,38,309
709,trevenant,ghost,grass,85,110,76,65,82,56,474
710,pumpkaboo-average,ghost,grass,49,66,70,44,55,51,335
711,gourgeist-average,ghost,grass,65,90,122,58,75,84,494
712,bergmite,ice,,55,69,85,32,35,28,304
713,avalugg,ice,,95,117,184,44,46,28,514
714,noibat,flying,dragon,40,30,35,45,40,55,245
715,noivern,flying,dragon,85,70,80,97,80,123,535
716,xerneas,fairy,,126,131,95,131,98,99,680
717,yveltal,dark,flying,126,131,95,131,98,99,680
718,zygarde-50,dragon,ground,108,100,121,81,95,95,600
719,diancie,rock,fairy,50,100,150,100,150,50,600
720,hoopa,psychic,ghost,80,110,60,150,130,70,600
721,volcanion,fire,water,80,110,120,130,90,70,600
722,rowlet,grass,flying,68,55,55,50,50,42,320
723,dartrix,grass,flying,78,75,75,70,70,52,420
724,decidueye,grass,ghost,78,107,75,100,100,70,530
725,litten,fire,,45,65,40,60,40,70,320
726,torracat,fire,,65,85,50,80,50,90,420
727,incineroar,fire,dark,95,115,90,80,90,60,530
728,popplio,water,,50,54,54,66,56,40,320
729,brionne,water,,60,69,69,91,81,50,420
730,primarina,water,fairy,80,74,74,126,116,60,530
731,pikipek,normal,flying,35,75,30,30,30,65,265
732,trumbeak,normal,flying,55,85,50,40,50,75,355
733,toucannon,normal,flying,80,120,75,75,75,60,485
734,yungoos,normal,,48,70,30,30,30,45,253
735,gumshoos,normal,,88,110,60,55,60,45,418
736,grubbin,bug,,47,62,45,55,45,46,300
737,charjabug,bug,electric,57,82,95,55,75,36,400
738,vikavolt,bug,electric,77,70,90,145,75,43,500
739,crabrawler,fighting,,47,82,57,42,47,63,338
740,crabominable,fighting,ice,97,132,77,62,67,43,478
741,oricorio-baile,fire,flying,75,70,70,98,70,93,476
742,cutiefly,bug,fairy,40,45,40,55,40,84,304
743,ribombee,bug,fairy,60,55,60,95,70,124,464
744,rockruff,rock,,45,65,40,30,40,60,280
745,lycanroc-midday,rock,,75,115,65,55,65,112,487
746,wishiwashi-solo,water,,45,20,20,25,25,40,175
747,mareanie,poison,water,50,53,62,43,52,45,305
748,toxapex,poison,water,50,63,152,53,142,35,495
749,mudbray,ground,,70,100,70,45,55,45,385
750,mudsdale,ground,,100,125,100,55,85,35,500
751,dewpider,water,bug,38,40,52,40,72,27,269
752,araquanid,water,bug,68,70,92,50,132,42,454
753,fomantis,grass,,40,55,35,50,35,35,250
754,lurantis,grass,,70,105,90,80,90,45,480
755,morelull,grass,fairy,40,35,55,65,75,15,285
756,shiinotic,grass,fairy,60,45,80,90,100,30,405
757,salandit,poison,fire,48,44,40,71,40,77,320
758,salazzle,poison,fire,68,64,60,111,60,117,480
759,stufful,normal,fighting,70,75,50,45,50,50,340
760,bewear,normal,fighting,120,125,80,55,60,60,500
761,bounsweet,grass,,42,30,38,30,38,32,210
762,steenee,grass,,52,40,48,40,48,62,290
763,tsareena,grass,,72,120,98,50,98,72,510
764,comfey,fairy,,51,52,90,82,110,100,485
765,oranguru,normal,psychic,90,60,80,90,110,60,490
766,passimian,fighting,,100,120,90,40,60,80,490
767,wimpod,bug,water,25,35,40,20,30,80,230
768,golisopod,bug,water,75,125,140,60,90,40,530
769,sandygast,ghost,ground,55,55,80,70,45,15,320
770,palossand,ghost,ground,85,75,110,100,75,35,480
771,pyukumuku,water,,55,60,130,30,130,5,410
772,type-null,normal,,95,95,95,95,95,59,534
773,silvally,normal,,95,95,95,95,95,95,570
774,minior-red-meteor,rock,flying,60,60,100,60,100,60,440
775,komala,normal,,65,115,65,75,95,65,480
776,turtonator,fire,dragon,60,78,135,91,85,36,485
777,togedemaru,electric,steel,65,98,63,40,73,96,435
778,mimikyu-disguised,ghost,fairy,55,90,80,50,105,96,476
779,bruxish,water,psychic,68,105,70,70,70,92,475
780,drampa,normal,dragon,78,60,85,135,91,36,485
781,dhelmise,ghost,grass,70,131,100,86,90,40,517
782,jangmo-o,dragon,,45,55,65,45,45,45,300
783,hakamo-o,dragon,fighting,55,75,90,65,70,65,420
784,kommo-o,dragon,fighting,75,110,125,100,105,85,600
785,tapu-koko,electric,fairy,70,115,85,95,75,130,570
786,tapu-lele,psychic,fairy,70,85,75,130,115,95,570
787,tapu-bulu,grass,fairy,70,130,115,85,95,75,570
788,tapu-fini,water,fairy,70,75,115,95,130,85,570
789,cosmog,psychic,,43,29,31,29,31,37,200
790,cosmoem,psychic,,43,29,131,29,131,37,400
791,solgaleo,psychic,steel,137,137,107,113,89,97,680
792,lunala,psychic,ghost,137,113,89,137,107,97,680
793,nihilego,rock,poison,109,53,47,127,131,103,570
794,buzzwole,bug,fighting,107,139,139,53,53,79,570
795,pheromosa,bug,fighting,71,137,37,137,37,151,570
796,xurkitree,electric,,83,89,71,173,71,83,570
797,celesteela,steel,flying,97,101,103,107,101,61,570
798,kartana,grass,steel,59,181,131,59,31,109,570
799,guzzlord,dark,dragon,223,101,53,97,53,43,570
800,necrozma,psychic,,97,107,101,127,89,79,600
801,magearna,steel,fairy,80,95,115,130,115,65,600
802,marshadow,fighting,ghost,90,125,80,90,90,125,600
803,poipole,poison,,67,73,67,73,67,73,420
804,naganadel,poison,dragon,73,73,73,127,73,121,540
805,stakataka,rock,steel,61,131,211,53,101,13,570
806,blacephalon,fire,ghost,53,127,53,151,79,107,570
807,zeraora,electric,,88,112,75,102,80,143,600
808,meltan,steel,,46,65,65,55,35,34,300
809,melmetal,steel,,135,143,143,80,65,34,600
810,grookey,grass,,50,65,50,40,40,65,310
811,thwackey,grass,,70,85,70,55,60,80,420
812,rillaboom,grass,,100,125,90,60,70,85,530
813,scorbunny,fire,,50,71,40,40,40,69,310
814,raboot,fire,,65,86,60,55,60,94,420
815,cinderace,fire,,80,116,75,65,75,119,530
816,sobble,water,,50,40,40,70,40,70,310
817,drizzile,water,,65,60,55,95,55,90,420
818,inteleon,water,,70,85,65,125,65,120,530
819,skwovet,normal,,70,55,55,35,35,25,275
820,greedent,normal,,120,95,95,55,75,20,460
821,rookidee,flying,,38,47,35,33,35,57,245
822,corvisquire,flying,,68,67,55,43,55,77,365
823,corviknight,flying,steel,98,87,105,53,85,67,495
824,blipbug,bug,,25,20,20,25,45,45,180
825,dottler,bug,psychic,50,35,80,50,90,30,335
826,orbeetle,bug,psychic,60,45,110,80,120,90,505
827,nickit,dark,,40,28,28,47,52,50,245
828,thievul,dark,,70,58,58,87,92,90,455
829,gossifleur,grass,,40,40,60,40,60,10,250
830,eldegoss,grass,,60,50,90,80,120,60,460
831,wooloo,normal,,42,40,55,40,45,48,270
832,dubwool,normal,,72,80,100,60,90,88,490
833,chewtle,water,,50,64,50,38,38,44,284
834,drednaw,water,rock,90,115,90,48,68,74,485
835,yamper,electric,,59,45,50,40,50,26,270
836,boltund,electric,,69,90,60,90,60,121,490
837,rolycoly,rock,,30,40,50,40,50,30,240
838,carkol,rock,fire,80,60,90,60,70,50,410
839,coalossal,rock,fire,110,80,120,80,90,30,510
840,applin,grass,dragon,40,40,80,40,40,20,260
841,flapple,grass,dragon,70,110,80,95,60,70,485
842,appletun,grass,dragon,110,85,80,100,80,30,485
843,silicobra,ground,,52,57,75,35,50,46,315
844,sandaconda,ground,,72,107,125,65,70,71,510
845,cramorant,flying,water,70,85,55,85,95,85,475
846,arrokuda,water,,41,63,40,40,30,66,280
847,barraskewda,water,,61,123,60,60,50,136,490
848,toxel,electric,poison,40,38,35,54,35,40,242
849,toxtricity-amped,electric,poison,75,98,70,114,70,75,502
850,sizzlipede,fire,bug,50,65,45,50,50,45,305
851,centiskorch,fire,bug,100,115,65,90,90,65,525
852,clobbopus,fighting,,50,68,60,50,50,32,310
853,grapploct,fighting,,80,118,90,70,80,42,480
854,sinistea,ghost,,40,45,45,74,54,50,308
855,polteageist,ghost,,60,65,65,134,114,70,508
856,hatenna,psychic,,42,30,45,56,53,39,265
857,hattrem,psychic,,57,40,65,86,73,49,370
858,hatterene,psychic,fairy,57,90,95,136,103,29,510
859,impidimp,dark,fairy,45,45,30,55,40,50,265
860,morgrem,dark,fairy,65,60,45,75,55,70,370
861,grimmsnarl,dark,fairy,95,120,65,95,75,60,510
862,obstagoon,dark,normal,93,90,101,60,81,95,520
863,perrserker,steel,,70,110,100,50,60,50,440
864,cursola,ghost,,60,95,50,145,130,30,510
865,sirfetchd,fighting,,62,135,95,68,82,65,507
866,mr-rime,ice,psychic,80,85,75,110,100,70,520
867,runerigus,ground,ghost,58,95,145,50,105,30,483
868,milcery,fairy,,45,40,40,50,61,34,270
869,alcremie,fairy,,65,60,75,110,121,64,495
870,falinks,fighting,,65,100,100,70,60,75,470
871,pincurchin,electric,,48,101,95,91,85,15,435
872,snom,ice,bug,30,25,35,45,30,20,185
873,frosmoth,ice,bug,70,65,60,125,90,65,475
874,stonjourner,rock,,100,125,135,20,20,70,470
875,eiscue-ice,ice,,75,80,110,65,90,50,470
876,indeedee-male,psychic,normal,60,65,55,105,95,95,475
877,morpeko-full-belly,electric,dark,58,95,58,70,58,97,436
878,cufant,steel,,72,80,49,40,49,40,330
879,copperajah,steel,,122,130,69,80,69,30,500
880,dracozolt,electric,dragon,90,100,90,80,70,75,505
881,arctozolt,electric,ice,90,100,90,90,80,55,505
882,dracovish,water,dragon,90,90,100,70,80,75,505
883,arctovish,water,ice,90,90,100,80,90,55,505
884,duraludon,steel,dragon,70,95,115,120,50,85,535
885,dreepy,dragon,ghost,28,60,30,40,30,82,270
886,drakloak,dragon,ghost,68,80,50,60,50,102,410
887,dragapult,dragon,ghost,88,120,75,100,75,142,600
888,zacian,fairy,,92,120,115,80,115,138,660
889,zamazenta,fighting,,92,120,115,80,115,138,660
890,eternatus,poison,dragon,140,85,95,145,95,130,690
891,kubfu,fighting,,60,90,60,53,50,72,385
892,urshifu-single-strike,fighting,dark,100,130,100,63,60,97,550
893,zarude,dark,grass,105,120,105,70,95,105,600
894,regieleki,electric,,80,100,50,100,50,200,580
895,regidrago,dragon,,200,100,50,100,50,80,580
896,glastrier,ice,,100,145,130,65,110,30,580
897,spectrier,ghost,,100,65,60,145,80,130,580
898,calyrex,psychic,grass,100,80,80,80,80,80,500
899,wyrdeer,normal,psychic,103,105,72,105,75,65,525
900,kleavor,bug,rock,70,135,95,45,70,85,500
901,ursaluna,ground,normal,130,140,105,45,80,50,550
902,basculegion-male,water,ghost,120,112,65,80,75,78,530
903,sneasler,fighting,poison,80,130,60,40,80,120,510
904,overqwil,dark,poison,85,115,95,65,65,85,510
905,enamorus-incarnate,fairy,flying,74,115,70,135,80,106,580
906,sprigatito,grass,,40,61,54,45,45,65,310
907,floragato,grass,,61,80,63,60,63,83,410
908,meowscarada,grass,dark,76,110,70,81,70,123,530
909,fuecoco,fire,,67,45,59,63,40,36,310
910,crocalor,fire,,81,55,78,90,58,49,411
911,skeledirge,fire,ghost,104,75,100,110,75,66,530
912,quaxly,water,,55,65,45,50,45,50,310
913,quaxwell,water,,70,85,65,65,60,65,410
914,quaquaval,water,fighting,85,120,80,85,75,85,530
915,lechonk,normal,,54,45,40,35,45,35,254
916,oinkologne-male,normal,,110,100,75,59,80,65,489
917,tarountula,bug,,35,41,45,29,40,20,210
918,spidops,bug,,60,79,92,52,86,35,404
919,nymble,bug,,33,46,40,21,25,45,210
920,lokix,bug,dark,71,102,78,52,55,92,450
921,pawmi,electric,,45,50,20,40,25,60,240
922,pawmo,electric,fighting,60,75,40,50,40,85,350
923,pawmot,electric,fighting,70,115,70,70,60,105,490
924,tandemaus,normal,,50,50,45,40,45,75,305
925,maushold-family-of-four,normal,,74,75,70,65,75,111,470
926,fidough,fairy,,37,55,70,30,55,65,312
927,dachsbun,fairy,,57,80,115,50,80,95,477
928,smoliv,grass,normal,41,35,45,58,51,30,260
929,dolliv,grass,normal,52,53,60,78,78,33,354
930,arboliva,grass,normal,78,69,90,125,109,39,510
931,squawkabilly-green-plumage,normal,flying,82,96,51,45,51,92,417
932,nacli,rock,,55,55,75,35,35,25,280
933,naclstack,rock,,60,60,100,35,65,35,355
934,garganacl,rock,,100,100,130,45,90,35,500
935,charcadet,fire,,40,50,40,50,40,35,255
936,armarouge,fire,psychic,85,60,100,125,80,75,525
937,ceruledge,fire,ghost,75,125,80,60,100,85,525
938,tadbulb,electric,,61,31,41,59,35,45,272
939,bellibolt,electric,,109,64,91,103,83,45,495
940,wattrel,electric,flying,40,40,35,55,40,70,280
941,kilowattrel,electric,flying,70,70,60,105,60,125,490
942,maschiff,dark,,60,78,60,40,51,51,340
943,mabosstiff,dark,,80,120,90,60,70,85,505
944,shroodle,poison,normal,40,65,35,40,35,75,290
945,grafaiai,poison,normal,63,95,65,80,72,110,485
946,bramblin,grass,ghost,40,65,30,45,35,60,275
947,brambleghast,grass,ghost,55,115,70,80,70,90,480
948,toedscool,ground,grass,40,40,35,50,100,70,335
949,toedscruel,ground,grass,80,70,65,80,120,100,515
950,klawf,rock,,70,100,115,35,55,75,450
951,capsakid,grass,,50,62,40,62,40,50,304
952,scovillain,grass,fire,65,108,65,108,65,75,486
953,rellor,bug,,41,50,60,31,58,30,270
954,rabsca,bug,psychic,75,50,85,115,100,45,470
955,flittle,psychic,,30,35,30,55,30,75,255
956,espathra,psychic,,95,60,60,101,60,105,481
957,tinkatink,fairy,steel,50,45,45,35,64,58,297
958,tinkatuff,fairy,steel,65,55,55,45,82,78,380
959,tinkaton,fairy,steel,85,75,77,70,105,94,506
960,wiglett,water,,10,55,25,35,25,95,245
961,wugtrio,water,,35,100,50,50,70,120,425
962,bombirdier,flying,dark,70,103,85,60,85,82,485
963,finizen,water,,70,45,40,45,40,75,315
964,palafin-zero,water,,100,70,72,53,62,100,457
965,varoom,steel,poison,45,70,63,30,45,47,300
966,revavroom,steel,poison,80,119,90,54,67,90,500
967,cyclizar,dragon,normal,70,95,65,85,65,121,501
968,orthworm,steel,,70,85,145,60,55,65,480
969,glimmet,rock,poison,48,35,42,105,60,60,350
970,glimmora,rock,poison,83,55,90,130,81,86,525
971,greavard,ghost,,50,61,60,30,55,34,290
972,houndstone,ghost,,72,101,100,50,97,68,488
973,flamigo,flying,fighting,82,115,74,75,64,90,500
974,cetoddle,ice,,108,68,45,30,40,43,334
975,cetitan,ice,,170,113,65,45,55,73,521
976,veluza,water,psychic,90,102,73,78,65,70,478
977,dondozo,water,,150,100,115,65,65,35,530
978,tatsugiri-curly,dragon,water,68,50,60,120,95,82,475
979,annihilape,fighting,ghost,110,115,80,50,90,90,535
980,clodsire,poison,ground,130,75,60,45,100,20,430
981,farigiraf,normal,psychic,120,90,70,110,70,60,520
982,dudunsparce-two-segment,normal,,125,100,80,85,75,55,520
983,kingambit,dark,steel,100,135,120,60,85,50,550
984,great-tusk,ground,fighting,115,131,131,53,53,87,570
985,scream-tail,fairy,psychic,115,65,99,65,115,111,570
986,brute-bonnet,grass,dark,111,127,99,79,99,55,570
987,flutter-mane,ghost,fairy,55,55,55,135,135,135,570
988,slither-wing,bug,fighting,85,135,79,85,105,81,570
989,sandy-shocks,electric,ground,85,81,97,121,85,101,570
990,iron-treads,ground,steel,90,112,120,72,70,106,570
991,iron-bundle,ice,water,56,80,114,124,60,136,570
992,iron-hands,fighting,electric,154,140,108,50,68,50,570
993,iron-jugulis,dark,flying,94,80,86,122,80,108,570
994,iron-moth,fire,poison,80,70,60,140,110,110,570
995,iron-thorns,rock,electric,100,134,110,70,84,72,570
996,frigibax,dragon,ice,65,75,45,35,45,55,320
997,arctibax,dragon,ice,90,95,66,45,65,62,423
998,baxcalibur,dragon,ice,115,145,92,75,86,87,600
999,gimmighoul,ghost,,45,30,70,75,70,10,300
1000,gholdengo,steel,ghost,87,60,95,133,91,84,550
1001,wo-chien,dark,grass,85,85,100,95,135,70,570
1002,chien-pao,dark,ice,80,120,80,90,65,135,570
1003,ting-lu,dark,ground,155,110,125,55,80,45,570
1004,chi-yu,dark,fire,55,80,80,135,120,100,570
1005,roaring-moon,dragon,dark,105,139,71,55,101,119,590
1006,iron-valiant,fairy,fighting,74,130,90,120,60,116,590
1007,koraidon,fighting,dragon,100,135,115,85,100,135,670
1008,miraidon,electric,dragon,100,85,100,135,115,135,670
1009,walking-wake,water,dragon,99,83,91,125,83,109,590
1010,iron-leaves,grass,psychic,90,130,88,70,108,104,590
1011,dipplin,grass,dragon,80,80,110,95,80,40,485
1012,poltchageist,grass,ghost,40,45,45,74,54,50,308
1013,sinistcha,grass,ghost,71,60,106,121,80,70,508
1014,okidogi,poison,fighting,88,128,115,58,86,80,555
1015,munkidori,poison,psychic,88,75,66,130,90,106,555
1016,fezandipiti,poison,fairy,88,91,82,70,125,99,555
1017,ogerpon,grass,,80,120,84,60,96,110,550
1018,archaludon,steel,dragon,90,105,130,125,65,85,600
1019,hydrapple,grass,dragon,106,80,110,120,80,44,540
1020,gouging-fire,fire,dragon,105,115,121,65,93,91,590
1021,raging-bolt,electric,dragon,125,73,91,137,89,75,590
1022,iron-boulder,rock,psychic,90,120,80,68,108,124,590
1023,iron-crown,steel,psychic,90,72,100,122,108,98,590
1024,terapagos,normal,,90,65,85,65,85,60,450
1025,pecharunt,poison,ghost,88,88,160,88,88,88,600
