id,name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image,display_name
936,armarouge,fire,psychic,85,60,100,125,80,75,525,936.png,Armarouge
937,ceruledge,fire,ghost,75,125,80,60,100,85,525,937.png,Ceruledge
939,bellibolt,electric,,109,64,91,103,83,45,495,939.png,Bellibolt
941,kilowattrel,electric,flying,70,70,60,105,60,125,490,941.png,Kilowattrel
943,mabosstiff,dark,,80,120,90,60,70,85,505,943.png,Mabosstiff
945,grafaiai,poison,normal,63,95,65,80,72,110,485,945.png,Grafaiai
947,brambleghast,grass,ghost,55,115,70,80,70,90,480,947.png,Brambleghast
949,toedscruel,ground,grass,80,70,65,80,120,100,515,949.png,Toedscruel
952,scovillain,grass,fire,65,108,65,108,65,75,486,952.png,Scovillain
956,espathra,psychic,,95,60,60,101,60,105,481,956.png,Espathra
959,tinkaton,fairy,steel,85,75,77,70,105,94,506,959.png,Tinkaton
962,bombirdier,flying,dark,70,103,85,60,85,82,485,962.png,Bombirdier
966,revavroom,steel,poison,80,119,90,54,67,90,500,966.png,Revavroom
967,cyclizar,dragon,normal,70,95,65,85,65,121,501,967.png,Cyclizar
968,orthworm,steel,,70,85,145,60,55,65,480,968.png,Orthworm
970,glimmora,rock,poison,83,55,90,130,81,86,525,970.png,Glimmora
972,houndstone,ghost,,72,101,100,50,97,68,488,972.png,Houndstone
973,flamigo,flying,fighting,82,115,74,75,64,90,500,973.png,Flamigo
975,cetitan,ice,,170,113,65,45,55,73,521,975.png,Cetitan
976,veluza,water,psychic,90,102,73,78,65,70,478,976.png,Veluza
977,dondozo,water,,150,100,115,65,65,35,530,977.png,Dondozo
978,tatsugiri-curly,dragon,water,68,50,60,120,95,82,475,978.png,Tatsugiri Curly
979,annihilape,fighting,ghost,110,115,80,50,90,90,535,979.png,Annihilape
981,farigiraf,normal,psychic,120,90,70,110,70,60,520,981.png,Farigiraf
982,dudunsparce-two-segment,normal,,125,100,80,85,75,55,520,982.png,Dudunsparce Two Segment
983,kingambit,dark,steel,100,135,120,60,85,50,550,983.png,Kingambit
984,great-tusk,ground,fighting,115,131,131,53,53,87,570,984.png,Great Tusk
985,scream-tail,fairy,psychic,115,65,99,65,115,111,570,985.png,Scream Tail
986,brute-bonnet,grass,dark,111,127,99,79,99,55,570,986.png,Brute Bonnet
987,flutter-mane,ghost,fairy,55,55,55,135,135,135,570,987.png,Flutter Mane
988,slither-wing,bug,fighting,85,135,79,85,105,81,570,988.png,Slither Wing
989,sandy-shocks,electric,ground,85,81,97,121,85,101,570,989.png,Sandy Shocks
990,iron-treads,ground,steel,90,112,120,72,70,106,570,990.png,Iron Treads
991,iron-bundle,ice,water,56,80,114,124,60,136,570,991.png,Iron Bundle
992,iron-hands,fighting,electric,154,140,108,50,68,50,570,992.png,Iron Hands
993,iron-jugulis,dark,flying,94,80,86,122,80,108,570,993.png,Iron Jugulis
994,iron-moth,fire,poison,80,70,60,140,110,110,570,994.png,Iron Moth
995,iron-thorns,rock,electric,100,134,110,70,84,72,570,995.png,Iron Thorns
998,baxcalibur,dragon,ice,115,145,92,75,86,87,600,998.png,Baxcalibur
1000,gholdengo,steel,ghost,87,60,95,133,91,84,550,1000.png,Gholdengo
1001,wo-chien,dark,grass,85,85,100,95,135,70,570,1001.png,Wo Chien
1002,chien-pao,dark,ice,80,120,80,90,65,135,570,1002.png,Chien Pao
1003,ting-lu,dark,ground,155,110,125,55,80,45,570,1003.png,Ting Lu
1004,chi-yu,dark,fire,55,80,80,135,120,100,570,1004.png,Chi Yu
1005,roaring-moon,dragon,dark,105,139,71,55,101,119,590,1005.png,Roaring Moon
1006,iron-valiant,fairy,fighting,74,130,90,120,60,116,590,1006.png,Iron Valiant
1007,koraidon,fighting,dragon,100,135,115,85,100,135,670,1007.png,Koraidon
1008,miraidon,electric,dragon,100,85,100,135,115,135,670,1008.png,Miraidon
1009,walking-wake,water,dragon,99,83,91,125,83,109,590,1009.png,Walking Wake
1010,iron-leaves,grass,psychic,90,130,88,70,108,104,590,1010.png,Iron Leaves
1011,dipplin,grass,dragon,80,80,110,95,80,40,485,1011.png,Dipplin
1013,sinistcha,grass,ghost,71,60,106,121,80,70,508,1013.png,Sinistcha
1014,okidogi,poison,fighting,88,128,115,58,86,80,555,1014.png,Okidogi
1015,munkidori,poison,psychic,88,75,66,130,90,106,555,1015.png,Munkidori
1016,fezandipiti,poison,fairy,88,91,82,70,125,99,555,1016.png,Fezandipiti
1017,ogerpon,grass,,80,120,84,60,96,110,550,1017.png,Ogerpon
1018,archaludon,steel,dragon,90,105,130,125,65,85,600,1018.png,Archaludon
1019,hydrapple,grass,dragon,106,80,110,120,80,44,540,1019.png,Hydrapple
1020,gouging-fire,fire,dragon,105,115,121,65,93,91,590,1020.png,Gouging Fire
1021,raging-bolt,electric,dragon,125,73,91,137,89,75,590,1021.png,Raging Bolt
1022,iron-boulder,rock,psychic,90,120,80,68,108,124,590,1022.png,Iron Boulder
1023,iron-crown,steel,psychic,90,72,100,122,108,98,590,1023.png,Iron Crown
1025,pecharunt,poison,ghost,88,88,160,88,88,88,600,1025.png,Pecharunt
