id,name,display_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image,pokemon_category
881,arctozolt,Arctozolt,electric,ice,90,100,90,90,80,55,505,881.png,basic
882,dracovish,Dracovish,water,dragon,90,90,100,70,80,75,505,882.png,basic
883,arctovish,Arctovish,water,ice,90,90,100,80,90,55,505,883.png,basic
884,duraludon,Duraludon,steel,dragon,70,95,115,120,50,85,535,884.png,basic
887,dragapult,Dragapult,dragon,ghost,88,120,75,100,75,142,600,887.png,basic
888,zacian,Zacian,fairy,,92,120,115,80,115,138,660,888.png,legendary
889,zamazenta,Zamazenta,fighting,,92,120,115,80,115,138,660,889.png,legendary
890,eternatus,Eternatus,poison,dragon,140,85,95,145,95,130,690,890.png,legendary
892,urshifu-single-strike,Urshifu Single Strike,fighting,dark,100,130,100,63,60,97,550,892.png,legendary
893,zarude,Zarude,dark,grass,105,120,105,70,95,105,600,893.png,mythical
894,regieleki,Regieleki,electric,,80,100,50,100,50,200,580,894.png,legendary
895,regidrago,Regidrago,dragon,,200,100,50,100,50,80,580,895.png,legendary
896,glastrier,Glastrier,ice,,100,145,130,65,110,30,580,896.png,legendary
897,spectrier,Spectrier,ghost,,100,65,60,145,80,130,580,897.png,legendary
898,calyrex,Calyrex,psychic,grass,100,80,80,80,80,80,500,898.png,legendary
899,wyrdeer,Wyrdeer,normal,psychic,103,105,72,105,75,65,525,899.png,basic
900,kleavor,Kleavor,bug,rock,70,135,95,45,70,85,500,900.png,basic
901,ursaluna,Ursaluna,ground,normal,130,140,105,45,80,50,550,901.png,basic
902,basculegion-male,Basculegion Male,water,ghost,120,112,65,80,75,78,530,902.png,basic
903,sneasler,Sneasler,fighting,poison,80,130,60,40,80,120,510,903.png,basic
904,overqwil,Overqwil,dark,poison,85,115,95,65,65,85,510,904.png,basic
905,enamorus-incarnate,Enamorus Incarnate,fairy,flying,74,115,70,135,80,106,580,905.png,basic
908,meowscarada,Meowscarada,grass,dark,76,110,70,81,70,123,530,908.png,basic
911,skeledirge,Skeledirge,fire,ghost,104,75,100,110,75,66,530,911.png,basic
914,quaquaval,Quaquaval,water,fighting,85,120,80,85,75,85,530,914.png,basic
916,oinkologne-male,Oinkologne Male,normal,,110,100,75,59,80,65,489,916.png,basic
923,pawmot,Pawmot,electric,fighting,70,115,70,70,60,105,490,923.png,basic
927,dachsbun,Dachsbun,fairy,,57,80,115,50,80,95,477,927.png,basic
930,arboliva,Arboliva,grass,normal,78,69,90,125,109,39,510,930.png,basic
934,garganacl,Garganacl,rock,,100,100,130,45,90,35,500,934.png,basic
936,armarouge,Armarouge,fire,psychic,85,60,100,125,80,75,525,936.png,basic
937,ceruledge,Ceruledge,fire,ghost,75,125,80,60,100,85,525,937.png,basic
939,bellibolt,Bellibolt,electric,,109,64,91,103,83,45,495,939.png,basic
941,kilowattrel,Kilowattrel,electric,flying,70,70,60,105,60,125,490,941.png,basic
943,mabosstiff,Mabosstiff,dark,,80,120,90,60,70,85,505,943.png,basic
945,grafaiai,Grafaiai,poison,normal,63,95,65,80,72,110,485,945.png,basic
947,brambleghast,Brambleghast,grass,ghost,55,115,70,80,70,90,480,947.png,basic
949,toedscruel,Toedscruel,ground,grass,80,70,65,80,120,100,515,949.png,basic
952,scovillain,Scovillain,grass,fire,65,108,65,108,65,75,486,952.png,basic
956,espathra,Espathra,psychic,,95,60,60,101,60,105,481,956.png,basic
959,tinkaton,Tinkaton,fairy,steel,85,75,77,70,105,94,506,959.png,basic
962,bombirdier,Bombirdier,flying,dark,70,103,85,60,85,82,485,962.png,basic
966,revavroom,Revavroom,steel,poison,80,119,90,54,67,90,500,966.png,basic
967,cyclizar,Cyclizar,dragon,normal,70,95,65,85,65,121,501,967.png,basic
968,orthworm,Orthworm,steel,,70,85,145,60,55,65,480,968.png,basic
970,glimmora,Glimmora,rock,poison,83,55,90,130,81,86,525,970.png,basic
972,houndstone,Houndstone,ghost,,72,101,100,50,97,68,488,972.png,basic
973,flamigo,Flamigo,flying,fighting,82,115,74,75,64,90,500,973.png,basic
975,cetitan,Cetitan,ice,,170,113,65,45,55,73,521,975.png,basic
976,veluza,Veluza,water,psychic,90,102,73,78,65,70,478,976.png,basic
977,dondozo,Dondozo,water,,150,100,115,65,65,35,530,977.png,basic
978,tatsugiri-curly,Tatsugiri Curly,dragon,water,68,50,60,120,95,82,475,978.png,basic
979,annihilape,Annihilape,fighting,ghost,110,115,80,50,90,90,535,979.png,basic
981,farigiraf,Farigiraf,normal,psychic,120,90,70,110,70,60,520,981.png,basic
982,dudunsparce-two-segment,Dudunsparce Two Segment,normal,,125,100,80,85,75,55,520,982.png,basic
983,kingambit,Kingambit,dark,steel,100,135,120,60,85,50,550,983.png,basic
984,great-tusk,Great Tusk,ground,fighting,115,131,131,53,53,87,570,984.png,basic
985,scream-tail,Scream Tail,fairy,psychic,115,65,99,65,115,111,570,985.png,basic
986,brute-bonnet,Brute Bonnet,grass,dark,111,127,99,79,99,55,570,986.png,basic
987,flutter-mane,Flutter Mane,ghost,fairy,55,55,55,135,135,135,570,987.png,basic
988,slither-wing,Slither Wing,bug,fighting,85,135,79,85,105,81,570,988.png,basic
989,sandy-shocks,Sandy Shocks,electric,ground,85,81,97,121,85,101,570,989.png,basic
990,iron-treads,Iron Treads,ground,steel,90,112,120,72,70,106,570,990.png,basic
991,iron-bundle,Iron Bundle,ice,water,56,80,114,124,60,136,570,991.png,basic
992,iron-hands,Iron Hands,fighting,electric,154,140,108,50,68,50,570,992.png,basic
993,iron-jugulis,Iron Jugulis,dark,flying,94,80,86,122,80,108,570,993.png,basic
994,iron-moth,Iron Moth,fire,poison,80,70,60,140,110,110,570,994.png,basic
995,iron-thorns,Iron Thorns,rock,electric,100,134,110,70,84,72,570,995.png,basic
998,baxcalibur,Baxcalibur,dragon,ice,115,145,92,75,86,87,600,998.png,basic
1000,gholdengo,Gholdengo,steel,ghost,87,60,95,133,91,84,550,1000.png,basic
1001,wo-chien,Wo-Chien,dark,grass,85,85,100,95,135,70,570,1001.png,basic
1002,chien-pao,Chien-Pao,dark,ice,80,120,80,90,65,135,570,1002.png,basic
1003,ting-lu,Ting-Lu,dark,ground,155,110,125,55,80,45,570,1003.png,basic
1004,chi-yu,Chi-Yu,dark,fire,55,80,80,135,120,100,570,1004.png,basic
1005,roaring-moon,Roaring Moon,dragon,dark,105,139,71,55,101,119,590,1005.png,basic
1006,iron-valiant,Iron Valiant,fairy,fighting,74,130,90,120,60,116,590,1006.png,basic
1007,koraidon,Koraidon,fighting,dragon,100,135,115,85,100,135,670,1007.png,legendary
1008,miraidon,Miraidon,electric,dragon,100,85,100,135,115,135,670,1008.png,legendary
1009,walking-wake,Walking Wake,water,dragon,99,83,91,125,83,109,590,1009.png,legendary
1010,iron-leaves,Iron Leaves,grass,psychic,90,130,88,70,108,104,590,1010.png,legendary
1011,dipplin,Dipplin,grass,dragon,80,80,110,95,80,40,485,1011.png,basic
1013,sinistcha,Sinistcha,grass,ghost,71,60,106,121,80,70,508,1013.png,basic
1014,okidogi,Okidogi,poison,fighting,88,128,115,58,86,80,555,1014.png,legendary
1015,munkidori,Munkidori,poison,psychic,88,75,66,130,90,106,555,1015.png,legendary
1016,fezandipiti,Fezandipiti,poison,fairy,88,91,82,70,125,99,555,1016.png,legendary
1017,ogerpon,Ogerpon,grass,,80,120,84,60,96,110,550,1017.png,basic
1018,archaludon,Archaludon,steel,dragon,90,105,130,125,65,85,600,1018.png,basic
1019,hydrapple,Hydrapple,grass,dragon,106,80,110,120,80,44,540,1019.png,legendary
1020,gouging-fire,Gouging Fire,fire,dragon,105,115,121,65,93,91,590,1020.png,legendary
1021,raging-bolt,Raging Bolt,electric,dragon,125,73,91,137,89,75,590,1021.png,legendary
1022,iron-boulder,Iron Boulder,rock,psychic,90,120,80,68,108,124,590,1022.png,legendary
1023,iron-crown,Iron Crown,steel,psychic,90,72,100,122,108,98,590,1023.png,legendary
1025,pecharunt,Pecharunt,poison,ghost,88,88,160,88,88,88,600,1025.png,mythical
